Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Nomada,Nomada lehighensis,0,0,0,0,0,0,0,0
Nomada,Nomada snowii,0,0,0,0,0,0,0,0
Nomada,Nomada valida,0,0,0,0,0,0,0,0
Nomada,Nomada vincta,3,3,0,0,0,0,0,0
Osmia,Osmia albolateralis,5,3,0,2,0,0,0,0
Osmia,Osmia atriventris,8,6,0,2,0,0,0,0
Osmia,Osmia bucephala,2,1,0,1,0,0,0,0
Osmia,Osmia coloradensis,1,0,0,1,0,0,0,0
Osmia,Osmia densa,1,0,0,1,0,0,0,0
Osmia,Osmia distincta,1,1,0,0,0,0,0,0
Osmia,Osmia ednae,0,0,0,0,0,0,0,0
Osmia,Osmia giliarum,0,0,0,0,0,0,0,0
Osmia,Osmia grindeliae,2,2,0,0,0,0,0,0
Osmia,Osmia inermis,0,0,0,0,0,0,0,0
Osmia,Osmia inspergens,3,3,0,0,0,0,0,0
Osmia,Osmia integra,0,0,0,0,0,0,0,0
Osmia,Osmia inurbana,3,3,0,0,0,0,0,0
Osmia,Osmia juxta,0,0,0,0,0,0,0,0
Osmia,Osmia lignaria,4,4,0,0,0,0,0,0
Osmia,Osmia nanula,0,0,0,0,0,0,0,0
Osmia,Osmia nifoata,0,0,0,0,0,0,0,0
Osmia,Osmia nigrifrons,0,0,0,0,0,0,0,0
Osmia,Osmia nigriventris,0,0,0,0,0,0,0,0
Osmia,Osmia pentstemonis,0,0,0,0,0,0,0,0
Osmia,Osmia proxima,0,0,0,0,0,0,0,0
Osmia,Osmia pusilla,0,0,0,0,0,0,0,0
Osmia,Osmia sculleni,0,0,0,0,0,0,0,0
Osmia,Osmia sedula,0,0,0,0,0,0,0,0
Osmia,Osmia simillima,4,4,0,0,0,0,0,0
Osmia,Osmia subaustralis,0,0,0,0,0,0,0,0
Osmia,Osmia tarsata,0,0,0,0,0,0,0,0
Osmia,Osmia tersula,0,0,0,0,0,0,0,0
Osmia,Osmia texana,5,5,0,0,0,0,0,0
Osmia,Osmia trevoris,3,3,0,0,0,0,0,0
Osmia,Osmia tristella,0,0,0,0,0,0,0,0
Panurginus,Panurginus atriceps,0,0,0,0,0,0,0,0
Panurginus,Panurginus beardsleyi,0,0,0,0,0,0,0,0
Perdita,Perdita ainsliei,0,0,0,0,0,0,0,0
Perdita,Perdita albipennis,0,0,0,0,0,0,0,0
Perdita,Perdita bruneri,0,0,0,0,0,0,0,0
Perdita,Perdita luteiceps,0,0,0,0,0,0,0,0
Perdita,Perdita maculigera,0,0,0,0,0,0,0,0
Perdita,Perdita nevadensis,0,0,0,0,0,0,0,0
Perdita,Perdita perpallida,0,0,0,0,0,0,0,0
Perdita,Perdita pretiosa,0,0,0,0,0,0,0,0
Perdita,Perdita strottleri,0,0,0,0,0,0,0,0
Perdita,Perdita swenki,6,6,0,0,0,0,0,0
Perdita,Perdita tridentata,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus aestivalis,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus innuptus,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus parvus,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus pecki,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus piercei,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus renimaculatus,0,0,0,0,0,0,0,0
Sphecodes,Sphecodes arroyanus,0,0,0,0,0,0,0,0
Sphecodes,Sphecodes minor,2,0,0,2,0,0,0,0
